EyeColor,IceCream,Snack,Adjective,Gender,Class
Blue,vanilla,pretzels,Outgoing,Female,AM
Brown,vanilla,popcorn,Perfectionist,Female,AM
Brown,vanilla,Pchip,Perfectionist,Female,PM
Hazel,chocolate,popcorn,Moral,Female,PM
Brown,vanilla,Pchip,Lively,Female,PM
Hazel,fruit,pretzels,Moral,Female,PM
Brown,vanilla,Tchip,Perfectionist,Female,PM
Brown,vanilla,Tchip,Perfectionist,Female,PM
Blue,chocolate,Tchip,Lively,Female,PM
Green,chocolate,peanuts,Moral,Female,PM
Hazel,chocolate,popcorn,Moral,Female,PM
Blue,chocolate,Tchip,Perfectionist,Female,PM
Hazel,fruit,beef jerky,Outgoing,Female,PM
Green,fruit,Pchip,Perfectionist,Female,PM
Blue,chocolate,cheese,Perfectionist,Female,PM
Blue,fruit,popcorn,Outgoing,Female,PM
Brown,vanilla,Pchip,Perfectionist,Female,PM
Brown,coffee,Tchip,Moral,Female,PM
Brown,vanilla,pretzels,Moral,Female,PM
Brown,vanilla,Tchip,Moral,Female,PM
Brown,chocolate,pretzels,Lively,Female,PM
Blue,chocolate,pretzels,Outgoing,Female,PM
Brown,vanilla,cheese,Moral,Female,PM
Hazel,chocolate,pretzels,Perfectionist,Female,PM
Green,chocolate,Tchip,Perfectionist,Female,PM
Brown,vanilla,Pchip,Outgoing,Female,PM
Blue,vanilla,Tchip,Lively,Female,PM
Brown,vanilla,Pchip,Moral,Female,PM
Blue,vanilla,beef jerky,Aggressive,Female,PM
Blue,vanilla,Tchip,Outgoing,Female,PM
Brown,chocolate,Tchip,Lively,Female,PM
Brown,vanilla,Pchip,Perfectionist,Female,PM
Brown,fruit,Pchip,Perfectionist,Female,PM
Green,coffee,Tchip,Lively,Female,PM
Hazel,chocolate,Tchip,Aggressive,Female,PM
Hazel,fruit,Pchip,Perfectionist,Female,PM
Brown,chocolate,popcorn,Moral,Female,PM
Green,fruit,Pchip,Moral,Female,PM
Brown,chocolate,pretzels,Moral,Female,PM
Hazel,chocolate,pretzels,Moral,Female,PM
Green,vanilla,beef jerky,Lively,Female,PM
Brown,coffee,Tchip,Moral,Female,PM
Green,chocolate,cheese,Aggressive,Female,PM
Brown,chocolate,Pchip,Perfectionist,Female,PM
Brown,coffee,popcorn,Moral,Female,PM
Brown,chocolate,Pchip,Lively,Female,PM
Brown,chocolate,peanuts,Moral,Female,PM
Brown,vanilla,Tchip,Aggressive,Female,PM
Blue,chocolate,pretzels,Outgoing,Female,PM
Brown,fruit,Pchip,Aggressive,Female,PM
Green,vanilla,popcorn,Perfectionist,Female,PM
Blue,chocolate,beef jerky,Outgoing,Female,PM
Hazel,chocolate,Pchip,Moral,Female,PM
Brown,coffee,pretzels,Lively,Female,PM
Blue,vanilla,pretzels,Moral,Female,PM
Blue,vanilla,popcorn,Moral,Female,PM
Hazel,chocolate,Pchip,Lively,Female,PM
Brown,vanilla,Tchip,Moral,Female,PM
Brown,chocolate,Tchip,Outgoing,Female,PM
Brown,coffee,Tchip,Lively,Female,PM
Brown,chocolate,Tchip,Lively,Female,PM
Green,chocolate,Tchip,Perfectionist,Female,PM
Brown,coffee,pretzels,Outgoing,Female,PM
Green,chocolate,peanuts,Lively,Female,PM
Green,vanilla,Tchip,Lively,Female,PM
Brown,coffee,Pchip,Lively,Female,PM
Brown,vanilla,Pchip,Perfectionist,Female,PM
Hazel,vanilla,beef jerky,Moral,Female,PM
Brown,vanilla,Pchip,Outgoing,Female,PM
Blue,chocolate,beef jerky,Outgoing,Female,PM
Green,chocolate,Pchip,Moral,Female,PM
Hazel,vanilla,popcorn,Moral,Female,PM
Green,vanilla,Tchip,Moral,Female,PM
Brown,chocolate,Tchip,Aggressive,Female,PM
Brown,fruit,popcorn,Lively,Female,PM
Brown,chocolate,Pchip,Lively,Male,PM
Blue,vanilla,Pchip,Moral,Male,PM
Blue,coffee,Pchip,Perfectionist,Male,PM
